workload,page_size,mem_fraction,policy,output_throughput,request_throughput,median_ttft_ms,p99_ttft_ms,median_itl_ms,p99_itl_ms,block_hit_rate,block_miss_rate,compulsory_misses,compulsory_miss_rate,matched_blocks,missed_blocks,transfer_proxy_bytes
near_real,32,0.2,lru,627.8295740032469,2.253061160491634,37604.46626949124,44064.01328006759,6.479920819401741,44.40537939779456,0.34096971598933,0.65903028401067,27553,0.2543173867695517,36941,71400,299473305600
near_real,32,0.2,compulsory,,,,,,,,0.2543173867695517,27553,0.2543173867695517,,27553,
near_real,32,0.2,opt,627.6253133173694,2.25232814019915,37658.96808798425,44071.3226134656,6.47913315333426,44.88717101048678,0.34096971598933,0.65903028401067,27553,0.2543173867695517,36941,71400,299473305600
near_real,32,0.2,opt_bypass,629.0712639381156,2.257517152183436,37531.852568965405,43966.389438463375,6.474927067756653,44.198415600694716,0.34096971598933,0.65903028401067,27553,0.2543173867695517,36941,71400,299473305600
near_real,32,0.24,lru,1247.9807325964389,4.478567168676242,13916.014793561772,17609.666046593335,7.825568318367004,151.6107825562357,0.3551365373350813,0.6448634626649187,27550,0.2561527804896191,38196,69357,290904342528
near_real,32,0.24,compulsory,,,,,,,,0.2561527804896191,27550,0.2561527804896191,,27550,
near_real,32,0.24,opt,1250.2611858012554,4.486750919102857,13889.01500403881,17500.203786580823,7.830070797353983,153.57314003631473,0.35671926543424526,0.6432807345657547,27550,0.2561527804896191,37956,68447,287087525888
near_real,32,0.24,opt_bypass,1249.1002478956748,4.482584718252955,13937.141025206074,17529.076565871947,7.837687153369188,154.2500651907187,0.3551365373350813,0.6448634626649187,27550,0.2561527804896191,38196,69357,290904342528
near_real,32,0.28,lru,1463.963552354599,5.253654107362023,9423.61646075733,11225.514758867212,8.850253652781248,206.23837475664925,0.381835375781151,0.618164624218849,27549,0.26857945073264894,39166,63407,265948233728
near_real,32,0.28,compulsory,,,,,,,,0.26857945073264894,27549,0.26857945073264894,,27549,
near_real,32,0.28,opt,1462.6258798040774,5.248853667570985,9438.771789195016,11220.485554868355,8.829410653561354,206.2209987267852,0.38140128639465803,0.618598713605342,27549,0.26857945073264894,38840,62995,264220180480
near_real,32,0.28,opt_bypass,1462.2884990930652,5.2476429259816175,9445.086726220325,11239.51286249794,8.865356910973787,206.6960482485592,0.3834959532594122,0.6165040467405878,27549,0.2702631114250397,39186,62995,264220180480
near_real,32,0.32,lru,1560.5057645517436,5.600110403236043,7163.203754695132,8577.9583619209,9.990088874474168,276.87920934520685,0.3894559664543817,0.6105440335456183,27549,0.2711702577933519,39566,62027,260160094208
near_real,32,0.32,compulsory,,,,,,,,0.2711702577933519,27549,0.2711702577933519,,27549,
near_real,32,0.32,opt,1562.127882544808,5.605931618418062,7146.737986011431,8558.645170996897,9.933206718415022,266.07253577094525,0.3903683277526098,0.6096316722473902,27549,0.2711702577933519,39638,61902,259635806208
near_real,32,0.32,opt_bypass,1559.8262186970912,5.5976717503988915,7168.417776701972,8588.890910567714,9.902096819132566,285.4893956054001,0.387198860714427,0.612801139285573,27549,0.2730976644593362,39152,61964,259895853056
optimistic,32,0.2,lru,108.57940682169796,5.30666822190811,15440.9881120082,18772.149192076176,6.486617727205157,243.35471400991082,0.4224841341795104,0.5775158658204895,9968,0.06455122393472348,65240,89180,374048030720
optimistic,32,0.2,compulsory,,,,,,,,0.06455122393472348,9968,0.06455122393472348,,9968,
optimistic,32,0.2,opt,108.85919271291584,5.320342370085235,15310.401771450415,18806.431033019908,6.488623796030879,198.65983279887823,0.426740792036916,0.573259207963084,9968,0.06455122393472348,65937,88576,371514671104
optimistic,32,0.2,opt_bypass,109.16665497247959,5.3353691624579564,15215.190543560311,18732.60314031504,6.487289443612099,204.0972853940917,0.4281924701893775,0.5718075298106224,9968,0.06457045875600814,66181,88378,370684198912
optimistic,32,0.24,lru,171.87632366996743,8.400217422587183,7665.6952577177435,10633.055658475496,8.593134116381407,1008.4278186783175,0.6157521408357529,0.38424785916424714,9968,0.07326987393877026,83770,52275,219257241600
optimistic,32,0.24,compulsory,,,,,,,,0.07326987393877026,9968,0.07326987393877026,,9968,
optimistic,32,0.24,opt,176.2075106710136,8.611898192397764,7368.032944621518,10401.697121979667,8.470433298498392,826.2158477539197,0.6195571275929406,0.38044287240705943,9968,0.07326987393877026,84077,51628,216543526912
optimistic,32,0.24,opt_bypass,179.8005461978071,8.787502830591565,6919.677787460387,10241.63710642606,8.574893930926919,833.7426150031388,0.6288365296803653,0.3711634703196347,9968,0.073160706946157,86072,50803,213083226112
optimistic,32,0.28,lru,249.88574148738144,12.212819744324102,3501.292876433581,5062.453989451751,10.191900888457894,1170.6525031942874,0.7475336466738318,0.25246635332616824,9968,0.07994995107396653,93201,31477,132024107008
optimistic,32,0.28,compulsory,,,,,,,,0.07994995107396653,9968,0.07994995107396653,,9968,
optimistic,32,0.28,opt,253.86507234287245,12.407304032030423,3169.7154524736106,4655.723044811748,11.794397607445717,1108.639695737511,0.7428820453224869,0.2571179546775131,9968,0.07994995107396653,94609,32745,137342484480
optimistic,32,0.28,opt_bypass,257.14473909499,12.567593205100694,3257.1903120260686,4165.413792966865,10.12146845459938,1235.3346148785204,0.7515543377239368,0.2484456622760632,9968,0.0794756900703226,93803,31009,130061172736
optimistic,32,0.32,lru,310.01541530980586,15.151574325946983,559.972932562232,2481.791114178486,12.69216206856072,1623.0586431967095,0.8532399299474606,0.1467600700525394,9968,0.08728546409807356,97440,16760,70296535040
optimistic,32,0.32,compulsory,,,,,,,,0.08728546409807356,9968,0.08728546409807356,,9968,
optimistic,32,0.32,opt,312.86034126482707,15.2906161442909,351.7405034508556,2471.726675471291,10.747829917818308,1577.510726172477,0.8786301682449689,0.12136983175503112,9968,0.08728546409807356,100112,13829,58003030016
optimistic,32,0.32,opt_bypass,310.2476260051498,15.162923302275365,379.64935856871307,2467.6198915811256,11.996130924671888,1608.815691433847,0.8663716814159292,0.1336283185840708,9968,0.08728546409807356,98879,15251,63967330304
